district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
3,21.9,Address,108.0,188.35,3,2,2,1,1,28940000.0,153650.11945845498,38.17,1900000,2015,1,1907.0,1,1,1
3,30.51,Address,108.0,247.38,4,2,2,1,1,47000000.0,189991.1067992562,38.17,2500000,2015,1,1907.0,1,1,1
3,30.98,Address,108.0,288.6,3,2,2,1,1,45800000.0,158697.15869715868,76.34,4800000,2015,2,1907.0,1,1,2
7,28.37,Address,66.0,143.82999999999996,3,2,2,1,1,21250000.0,147743.86428422446,0.0,0,2019,4,1953.0,1,1,0
3,62.33,Address,61.0,123.34,4,2,3,1,0,23800000.0,192962.54256526675,0.0,0,2019,4,1958.0,5,1,0
3,33.75,Address,60.0,85.79,3,2,1,1,0,8800000.0,102576.05781559618,0.0,0,2019,3,1959.0,1,1,0
3,30.67,Address,61.0,56.97,1,1,1,1,0,14600000.0,256275.23257855012,0.0,0,2019,4,1958.0,1,1,0
11,28.17,Address,72.0,112.24,3,2,2,1,0,16060000.0,143086.24376336427,0.0,0,2019,3,1947.0,1,1,0
4,29.6,Address,87.0,174.74,4,2,2,1,1,24000000.0,137346.91541719125,0.0,0,2019,4,1932.0,1,1,0
9,38.0,Address,77.0,188.21,3,2,2,1,0,33000000.0,175336.06078316775,0.0,0,2019,3,1942.0,1,1,0
4,31.6,Address,75.71428571428571,99.52,3,2,1,1,0,17200000.0,172829.58199356913,0.0,0,2019,4,1943.2857142857144,2,1,0
11,25.99,Address,76.0,108.39,3,2,2,1,0,12000000.0,110711.32023249377,0.0,0,2019,3,1943.0,2,1,0
9,27.75,Address,63.82352941176471,77.6,2,2,1,1,0,13500000.0,173969.07216494848,0.0,0,2019,4,1955.1764705882354,1,1,0
4,29.08,Address,74.0,102.1,3,2,2,1,0,13000000.0,127326.15083251715,0.0,0,2019,3,1945.0,1,1,0
9,37.75,Address,63.82352941176471,95.25,3,2,1,1,0,20500000.0,215223.09711286085,0.0,0,2019,3,1955.1764705882354,1,1,0
9,36.75,Address,63.82352941176471,90.51,3,1,1,1,0,7500000.0,82863.77195889957,0.0,0,2019,4,1955.1764705882354,1,1,0
9,37.27,Address,71.0,158.38,0,0,0,0,0,21000000.0,132592.49905291072,0.0,0,2019,4,1948.0,1,1,0
6,33.87,Address,108.0,217.28,4,2,2,1,0,36580000.0,168354.19734904275,38.92,0,2019,3,1911.0,2,1,1
6,34.13,Address,108.0,251.48,4,2,2,1,0,39680000.0,157785.90742802608,73.12,0,2019,3,1911.0,2,1,2
6,27.2,Address,108.0,182.0,3,2,2,1,0,31200000.0,171428.57142857142,38.92,0,2019,3,1911.0,2,1,1
6,33.87,Address,108.0,217.28,4,2,2,1,0,39820000.0,183265.8321060383,38.92,0,2019,4,1911.0,2,1,1
6,2.12,Address,85.0,21.09,0,0,0,1,1,1030000.0,48838.311996206736,21.09,1030000,2019,4,1934.0,0,0,1
