district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
10,5.94,108.0,60.65,2,1,1,1,1,18280000.0,301401.483924155,0.0,0,2019,4,1911.0,2,1,0
10,6.89,108.0,69.9,2,1,1,1,1,19800000.0,283261.8025751073,0.0,0,2019,4,1911.0,2,1,0
10,5.72,108.0,57.61,1,1,1,1,1,16350000.0,283804.8949835098,0.0,0,2019,4,1911.0,2,1,0
1,34.49,108.0,301.3,4,2,2,1,1,46750000.0,155160.96913375374,93.4,4550000,2018,1,1910.0,1,1,2
1,15.29,108.0,137.97,1,1,1,1,1,20000000.0,144959.04906863812,46.7,2700000,2019,4,1911.0,1,1,1
1,10.5,83.0,72.16,1,1,1,1,1,8460000.0,117239.46784922395,0.0,0,2019,4,1936.0,1,1,1
10,19.6,70.0,59.41,2,1,2,1,0,6550000.0,110250.79952869887,0.0,0,2019,3,1949.0,1,1,0
10,19.6,70.0,63.97,4,0,4,1,0,6500000.0,101610.12974831954,0.0,0,2019,3,1949.0,1,1,0
1,39.24,103.0,199.2,3,2,2,1,1,23700000.0,118975.90361445786,41.96,0,2019,3,1916.0,3,1,1
1,29.82,71.0,110.74,3,2,2,1,0,11800000.0,106555.89669496118,0.0,0,2019,4,1948.0,1,1,0
10,24.85,108.0,97.74,2,2,1,1,0,21300000.0,217925.10742786984,0.0,0,2019,4,1911.0,1,1,0
1,33.74,99.0,164.55,3,2,2,1,1,18500000.0,112427.83348526283,6.81,0,2019,4,1920.0,3,1,1
1,16.96,62.0625,48.73,1,1,1,1,0,8600000.0,176482.659552637,0.0,0,2019,4,1956.9375,1,1,0
1,35.61,99.0,180.18,3,2,2,1,1,20578000.0,114208.0142080142,0.0,0,2019,4,1920.0,1,1,1
1,35.52,99.0,179.66000000000003,3,2,2,1,1,24860000.0,138372.48135366806,0.0,0,2019,4,1920.0,1,1,1
1,35.8,99.0,181.06,3,2,2,1,1,24238000.0,133867.226333812,0.0,0,2019,4,1920.0,1,1,1
1,20.75,58.0,46.32,3,2,2,1,0,6000000.0,129533.67875647669,0.0,0,2019,4,1961.0,1,1,0
1,37.67,81.0,129.16,4,2,2,1,1,15800000.0,122328.8943945494,0.0,0,2019,3,1938.0,1,1,0
5,10.0,0.0,0.0,0,0,0,1,0,909000.0,90900.0,0.0,0,2019,4,2019.0,1,0,0
10,6.35,75.0,60.47,0,1,1,1,1,9800000.0,162063.83330577143,0.0,0,2019,4,1944.0,1,1,0
2,5.57,84.0,53.36,2,1,1,1,1,7200000.0,134932.53373313346,0.0,0,2019,4,1935.0,1,1,0
5,10.18,67.8,36.61,2,0,1,1,0,4900000.0,133843.21223709368,0.0,0,2019,3,1951.2,1,1,0
2,18.87,0.0,0.0,0,0,0,1,0,444640.0,23563.32803391627,0.0,0,2019,4,2019.0,1,0,0
2,48.62,73.0,216.46,4,3,1,1,0,22400000.0,103483.32255382057,0.0,0,2019,3,1946.0,1,1,0
5,7.39,100.0,40.6,1,1,1,1,1,12160000.0,299507.3891625616,0.0,0,2019,4,1919.0,1,1,0
2,37.05,86.0,210.88,3,2,2,1,1,21580000.0,102333.0804248862,0.0,0,2019,4,1933.0,2,1,0
5,15.0,0.0,0.0,0,0,0,1,0,7000000.0,466666.66666666674,0.0,0,2019,4,2019.0,1,0,0
